study_stage_mc,study_degree_yesno,study_degree,study_degree_year,study_degree_field,study_degree_field_open,study_stage_open,field_of_study_mc,field_of_study_open,semester,age,sex,uni_current,uni_bachelor,emp_experience,exp_specific,prereg_where,specific_qrps_teaching,rc_teaching,rc_teaching_specific,interest,importance,felt_information,software1,nosi,nosi_events_mc,data_ok,comments,orp01,orp02,qrp01,qrp02,qrp03,qrp04,qrp05,qrp06,qrp07,qrp08,qrp09,length,nosi_at_uni,n_projects_total,n_emp.intern,n_project,n_thesis.bsc,n_thesis.msc,n_other,id
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,28,male,NA,NA,Yes,"1, 2, 3, 5","1, 5","8, 9",Did not hear of RC,NA,5,5,5,"SPSS,R",No,No,1,NA,"1, 2, 3, 5","1, 2, 3, 5",6,6,6,6,"2, 3, 5",6,6,6,6,717s (~11.95 minutes),No,4,1,1,1,0,1,760
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,20,male,NA,NA,Yes,1,6,11,Did not hear of RC,NA,2,4,2,SPSS,No,No,1,NA,6,6,1,6,6,6,1,1,6,6,6,295s (~4.92 minutes),No,1,1,0,0,0,0,761
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,male,SRH Heidelberg,NA,No,NA,NA,"2, 6, 8, 9",Did not hear of RC,NA,5,5,4,"PSPP,SPSS",Yes,Yes,1,Bin schon im Thema drin da ich bei der PsyFaKo war und bin im Moment mit ein paar anderen Kommilitonen dabei das Thema bei uns an der Hochschule anzusprechen.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,557s (~9.28 minutes),No,0,NA,NA,NA,NA,NA,762
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,21,female,SRH Heidelberg,NA,No,NA,NA,8,Did hear of RC,4,4,4,2,SAS,No,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,158s (~2.63 minutes),No,0,NA,NA,NA,NA,NA,763
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,NA,NA,Yes,"1, 2",6,"1, 2, 3, 4, 7, 8",Did not hear of RC,NA,3,4,2,SPSS,No,No,1,NA,6,6,"1, 2","1, 2",6,6,6,6,6,6,6,532s (~8.87 minutes),No,2,1,1,0,0,0,764
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,20,female,NA,NA,No,NA,NA,11,Did hear of RC,6,5,5,2,SPSS,Not Sure,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,436s (~7.27 minutes),No,0,NA,NA,NA,NA,NA,765
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,female,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"2, 11, 14",5,5,4,SPSS,Yes,Yes,1,NA,1,6,6,3,6,6,6,6,6,6,6,408s (~6.8 minutes),No,2,1,0,1,0,0,766
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,24,male,NA,NA,No,NA,NA,11,Did not hear of RC,NA,3,2,1,SPSS,No,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435s (~7.25 minutes),No,0,NA,NA,NA,NA,NA,767
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,Julius-Maximilians-Universität Würzburg,NA,Yes,1,2,"2, 3, 6, 7, 8, 9",Did hear of RC,"2, 3, 5, 9, 11, 14",5,5,3,R,Not Sure,Yes,1,NA,1,1,6,6,6,6,6,6,6,6,6,242s (~4.03 minutes),No,1,1,0,0,0,0,768
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,27,male,Universität Bielefeld,NA,Yes,"1, 2, 3",6,11,I don't know,15,5,5,4,"SPSS,R",No,No,1,"Replikationskrise und statistische No-Go's wurden an der Uni Trier im Seminar ""Methodenkritisches Lesen"" besprochen.","1, 2, 3",6,1,6,1,6,6,1,"1, 3",6,6,592s (~9.87 minutes),No,3,1,1,1,0,0,769
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,female,Universität Bielefeld,NA,Yes,"1, 3",6,"1, 2, 6, 7, 8",Did not hear of RC,NA,2,3,4,"R,SPSS",No,No,1,NA,6,6,6,3,6,6,6,6,6,3,6,363s (~6.05 minutes),No,2,1,0,1,0,0,770
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,22,female,Universität Bielefeld,Universität Bielefeld,Yes,"1, 2, 3, 5",6,"2, 5, 6, 7, 8",Did hear of RC,9,4,5,3,"R,SPSS",Not Sure,Not Sure,1,NA,6,6,6,"1, 3",6,6,6,6,6,6,6,778s (~12.97 minutes),No,4,1,1,1,0,1,771
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,20,male,NA,NA,No,NA,NA,8,Did not hear of RC,NA,5,5,3,SPSS,Yes,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239s (~3.98 minutes),No,0,NA,NA,NA,NA,NA,772
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,6,23,female,Julius-Maximilians-Universität Würzburg,NA,Yes,"1, 3",2,"1, 3, 4, 5, 7, 8, 9",Did hear of RC,11,4,4,4,Excel,Yes,No,1,NA,6,3,"1, 3","1, 3",6,6,6,6,6,6,6,208s (~3.47 minutes),No,2,1,0,1,0,0,773
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Ludwig-Maximilians-Universität München,NA,Yes,1,"1, 3","1, 2, 3, 4, 6, 8, 9",Did hear of RC,"2, 5, 11, 14",4,5,3,R,Yes,Yes,1,NA,1,1,6,6,6,6,6,6,6,6,6,665s (~11.08 minutes),Yes,1,1,0,0,0,0,774
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,NA,NA,Yes,1,2,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"11, 14",3,5,5,"SPSS,R",No,No,1,NA,6,1,6,6,6,6,6,6,6,6,6,311s (~5.18 minutes),No,1,1,0,0,0,0,775
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,24,male,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,Yes,"2, 3, 4, 5",6,"2, 3, 5, 6, 8",Did hear of RC,"1, 2, 11, 14",4,5,2,R,Yes,Yes,1,NA,"2, 3",6,6,6,6,6,6,6,6,6,6,836s (~13.93 minutes),Yes,4,0,1,1,1,1,776
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,6,23,female,NA,NA,Yes,"1, 3",3,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"1, 6, 11, 14",4,5,4,"SPSS,R",Yes,No,1,NA,1,1,6,6,6,6,6,6,6,6,6,256s (~4.27 minutes),No,2,1,0,1,0,0,777
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,4,20,male,Johannes Gutenberg-Universität Mainz,NA,Yes,"1, 2",2,"1, 3, 4, 5, 7, 8",I don't know,14,4,5,4,SPSS,Yes,No,1,"Ich fand die Umfrage super schwer zu beantworten, obwohl ich im 4. Semester bin und auf der PsyFaKo in einem Open Science Slot war. Die Erklärungen die man sich anschauen konnte, waren gut, aber trotzdem waren die Fragen für mich noch schwer greifbar. Kann man das vielleicht noch verständlicher rüberbringen?",6,2,1,"1, 2",6,6,6,2,6,6,6,526743s (~6.1 days),No,2,1,1,0,0,0,778
I don't study (any more),1,M.Sc.,1,Psychology,NA,NA,NA,NA,NA,25,female,NA,NA,Yes,"1, 2, 3, 4",6,"1, 2, 3, 4, 7, 8",Did hear of RC,11,5,5,4,SPSS,No,Yes,1,NA,6,6,6,"1, 4",6,"1, 2, 3",6,1,"1, 3",6,"1, 2, 3, 4",352s (~5.87 minutes),No,4,1,1,1,1,0,779
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,8,23,female,Universität Leipzig,NA,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7",Did hear of RC,5,4,5,2,"SPSS,R",No,No,1,NA,6,6,3,3,6,6,3,6,6,6,6,283s (~4.72 minutes),Yes,2,1,0,1,0,0,780
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,22,male,Universität Leipzig,NA,Yes,1,5,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"6, 11, 15",3,5,4,R,Yes,Not Sure,1,NA,6,6,6,6,6,6,6,6,6,6,6,402s (~6.7 minutes),Yes,1,1,0,0,0,0,781
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,26,female,Universität Leipzig,NA,Yes,"1, 2, 3",1,"1, 2, 4, 6, 7, 8",Did hear of RC,9,5,5,4,R,Not Sure,Yes,1,NA,3,"1, 2, 3",6,1,6,6,6,6,6,6,6,730s (~12.17 minutes),Yes,3,1,1,1,0,0,782
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,21,female,Universität zu Köln,NA,No,NA,NA,11,Did hear of RC,"1, 14, 15",3,5,2,SPSS,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,153s (~2.55 minutes),Yes,0,NA,NA,NA,NA,NA,783
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,18,female,Universität zu Köln,NA,No,NA,NA,"1, 2, 3, 4, 5, 7, 8, 9",Did hear of RC,"1, 3, 11",3,5,5,SPSS,Yes,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,215s (~3.58 minutes),Yes,0,NA,NA,NA,NA,NA,784
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,5,25,female,Universität zu Köln,Universität zu Köln,Yes,"1, 4","1, 2","1, 2, 4, 5, 6, 7, 8, 9",Did hear of RC,11,4,5,3,SPSS,No,No,1,NA,4,1,"1, 4","1, 4",6,6,6,4,6,6,6,288s (~4.8 minutes),Yes,2,1,0,0,1,0,785
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,24,female,NA,NA,Yes,"1, 2",6,"1, 2, 4, 6, 7, 8, 9",Did hear of RC,"1, 5, 7, 11, 12, 14",3,4,4,"SPSS,Excel",No,No,1,NA,"1, 2",6,6,6,6,6,6,6,6,6,6,361s (~6.02 minutes),No,2,1,1,0,0,0,786
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,19,female,NA,NA,No,NA,NA,11,Did not hear of RC,NA,4,4,2,SPSS,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,233s (~3.88 minutes),No,0,NA,NA,NA,NA,NA,787
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,24,female,NA,NA,Yes,"1, 2",1,10,Did hear of RC,14,5,5,2,"SPSS,R",Yes,No,1,NA,6,2,6,2,6,2,6,6,6,6,6,441s (~7.35 minutes),No,2,1,1,0,0,0,788
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,43,female,Universität zu Köln,NA,Yes,1,3,"1, 4, 5, 6, 7, 8, 9",Did hear of RC,14,4,5,3,SPSS,No,No,1,NA,6,1,1,1,6,6,6,1,6,6,1,442s (~7.37 minutes),Yes,1,1,0,0,0,0,789
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,17,female,Universität zu Köln,NA,No,NA,NA,"1, 2, 3, 5, 7, 8",Did hear of RC,14,3,3,2,SPSS,Not Sure,Not Sure,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274s (~4.57 minutes),Yes,0,NA,NA,NA,NA,NA,790
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,23,female,NA,NA,Yes,"1, 3",1,"1, 2, 3, 4, 7, 8",Did hear of RC,1,3,4,2,SPSS,No,No,1,NA,1,1,1,6,6,1,3,1,1,1,6,190s (~3.17 minutes),No,2,1,0,1,0,0,791
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,19,female,Universität zu Köln,NA,No,NA,NA,"1, 3, 4, 6, 8",Did hear of RC,14,4,5,2,SPSS,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2368s (~39.47 minutes),Yes,0,NA,NA,NA,NA,NA,792
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Universität Leipzig,NA,Yes,1,6,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"5, 6, 11",5,5,5,R,Yes,Not Sure,1,NA,6,6,6,6,6,6,6,6,6,6,6,451s (~7.52 minutes),Yes,1,1,0,0,0,0,793
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,26,female,Universität Koblenz-Landau,Universität Koblenz-Landau,Yes,"1, 3",6,"2, 6, 8",Did hear of RC,15,4,5,3,"R,SPSS",Not Sure,No,1,NA,1,6,6,6,6,6,6,1,6,6,6,55375s (~15.38 hours),Yes,2,1,0,1,0,0,794
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,female,Universität zu Köln,NA,Yes,3,6,"1, 2, 4, 7, 8",Did not hear of RC,NA,4,4,1,"R,SPSS",No,No,1,"Um Verwirrung vorzubeugen: 
Ich bin aktuell im ersten Bachelorsemester Psychologie, habe aber bei einigen Fragen ""Bachelorarbeit"" angegeben, da ich bereits ein Bachelorstudiengang abgeschlossen habe.",6,6,6,6,3,6,6,6,6,6,6,319s (~5.32 minutes),Yes,1,0,0,1,0,0,795
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,29,male,Universität zu Köln,NA,No,NA,NA,10,Did hear of RC,"1, 11",5,5,2,SPSS,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,207s (~3.45 minutes),Yes,0,NA,NA,NA,NA,NA,796
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,24,female,Universität Koblenz-Landau,Universität Koblenz-Landau,Yes,"1, 2, 3",6,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"4, 11",4,4,3,"R,SPSS",No,No,1,NA,"1, 3",6,"1, 2, 3","1, 3","1, 3","1, 3",6,6,6,6,6,421s (~7.02 minutes),Yes,3,1,1,1,0,0,797
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,20,female,SRH Heidelberg,NA,No,NA,NA,8,Did not hear of RC,NA,4,5,2,Excel,Yes,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,495s (~8.25 minutes),No,0,NA,NA,NA,NA,NA,798
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,19,female,SRH Heidelberg,NA,No,NA,NA,11,Did hear of RC,6,4,4,2,SPSS,Yes,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,204s (~3.4 minutes),No,0,NA,NA,NA,NA,NA,799
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,male,SRH Heidelberg,NA,Yes,"1, 2, 3",6,"1, 2, 10",Did not hear of RC,NA,5,5,3,SPSS,No,No,1,NA,6,6,1,"1, 2","2, 3","1, 2",6,"1, 2",6,1,2,262s (~4.37 minutes),No,3,1,1,1,0,0,800
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,20,female,SRH Heidelberg,NA,No,NA,NA,11,Did not hear of RC,NA,4,4,2,R,Not Sure,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,370s (~6.17 minutes),No,0,NA,NA,NA,NA,NA,801
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,20,male,SRH Heidelberg,NA,Yes,"1, 2, 5",5,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did not hear of RC,NA,2,2,1,SPSS,No,No,1,NA,"1, 2, 5","1, 2, 5","1, 2",5,"1, 2, 5","1, 2, 5","1, 2, 5","1, 2, 5","1, 2, 5","1, 2, 5","1, 2, 5",309s (~5.15 minutes),No,3,1,1,0,0,1,802
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,female,SRH Heidelberg,NA,Yes,"1, 2",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did not hear of RC,NA,1,5,1,SPSS,Not Sure,No,1,NA,6,6,"1, 2",6,6,6,6,6,6,6,6,231s (~3.85 minutes),No,2,1,1,0,0,0,803
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Justus-Liebig-Universität Gießen,NA,Yes,"1, 2",6,"1, 2, 3, 4, 5, 7, 8",Did hear of RC,"1, 4, 5, 11, 14",4,5,3,SPSS,Not Sure,Not Sure,1,NA,6,6,1,1,6,1,6,6,6,6,6,917s (~15.28 minutes),No,2,1,1,0,0,0,804
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,7,22,female,Universität Koblenz-Landau,NA,Yes,"1, 3","2, 6","1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"1, 3, 4, 5, 6, 11, 14",4,5,4,R,No,Yes,1,NA,"1, 3",5,6,6,6,6,6,6,6,6,6,393s (~6.55 minutes),Yes,2,1,0,1,0,0,805
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,female,Universität Koblenz-Landau,Universität Koblenz-Landau,Yes,"1, 3",6,"2, 8",Did hear of RC,"9, 11",3,5,2,R,No,No,1,NA,1,6,6,3,3,6,6,1,6,6,6,370s (~6.17 minutes),Yes,2,1,0,1,0,0,806
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,SRH Heidelberg,NA,Yes,"1, 2",6,"1, 3, 4, 7, 8",Did hear of RC,15,5,2,3,SPSS,No,No,1,NA,6,6,"1, 2","1, 2",6,2,6,6,6,6,6,207s (~3.45 minutes),No,2,1,1,0,0,0,807
Bachelor,NA,NA,NA,NA,NA,NA,Other,Wirtschaftspsychologie,3,24,female,SRH Heidelberg,NA,Yes,"1, 2",1,"8, 9",Did hear of RC,"4, 11",5,5,2,SPSS,No,No,1,NA,"1, 2",2,"1, 2","1, 2",6,"1, 2",1,2,"1, 2",6,6,453s (~7.55 minutes),No,2,1,1,0,0,0,808
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,SRH Heidelberg,NA,Yes,"1, 2",6,"2, 4",Did not hear of RC,NA,5,4,1,SPSS,Not Sure,Not Sure,1,NA,6,6,6,"1, 2",6,"1, 2",6,6,6,6,6,487s (~8.12 minutes),No,2,1,1,0,0,0,809
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,23,female,SRH Heidelberg,NA,Yes,"1, 2",6,"2, 3",Did hear of RC,11,3,3,2,SPSS,No,No,1,NA,6,6,"1, 2","1, 2",6,6,6,1,6,6,"1, 2",356s (~5.93 minutes),No,2,1,1,0,0,0,810
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,SRH Heidelberg,NA,Yes,1,6,"6, 9, 11",Did not hear of RC,NA,3,3,3,SPSS,No,No,1,NA,2,6,1,1,6,NA,2,2,1,6,"1, 2",288s (~4.8 minutes),No,1,1,0,0,0,0,811
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,23,female,SRH Heidelberg,NA,Yes,"1, 2",6,"1, 2, 3, 4, 5, 6, 7, 8, 9",I don't know,6,5,5,2,"SPSS,Excel",Not Sure,No,1,NA,6,6,"1, 2","1, 2","1, 2","1, 2","1, 2","1, 2","1, 2",6,6,696s (~11.6 minutes),No,2,1,1,0,0,0,812
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,46,female,Universität zu Köln,NA,No,NA,NA,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"5, 11",5,5,4,SPSS,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200s (~3.33 minutes),Yes,0,NA,NA,NA,NA,NA,813
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,22,female,NA,NA,Yes,1,"1, 6","1, 2, 3, 4, 5, 7, 8",Did hear of RC,"11, 14, 15",4,4,2,SPSS,Not Sure,No,1,"Danke, dass ihr euch um die Thematik kümmert. Ein sehr wichtiges Thema für die Zukunft der Psychologie",1,NA,6,6,6,6,6,1,6,6,6,494s (~8.23 minutes),No,1,1,0,0,0,0,814
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,20,female,NA,NA,Yes,1,"1, 6","1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"1, 5, 9, 11, 14",4,5,3,"R,Excel,JASP",Not Sure,Not Sure,1,NA,6,NA,1,1,6,6,6,6,6,6,6,415s (~6.92 minutes),No,1,1,0,0,0,0,815
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,24,male,Universität Hamburg,Universität Hamburg,Yes,"1, 2, 3, 4",6,"5, 8",Did hear of RC,"7, 11, 14",5,5,3,R,No,No,1,NA,6,6,6,"1, 2, 3",6,6,1,6,6,6,6,1793s (~29.88 minutes),No,4,1,1,1,1,0,816
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,19,female,SRH Heidelberg,NA,Yes,"1, 2",6,"1, 3, 4, 6, 7, 8, 9",Did hear of RC,6,2,3,2,SPSS,No,No,1,NA,6,6,"1, 2",1,6,6,6,6,6,6,6,284s (~4.73 minutes),No,2,1,1,0,0,0,817
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,5,24,female,NA,NA,Yes,"1, 2, 3, 4",6,"1, 2, 7, 8, 9",Did hear of RC,"2, 11",3,4,3,"SPSS,R,MPlus",No,No,1,NA,1,6,6,"1, 2, 3, 4","1, 2, 3, 4",6,6,6,6,3,6,340s (~5.67 minutes),No,4,1,1,1,1,0,818
Bachelor,NA,NA,NA,NA,NA,NA,Other,Gesundheitspsychologie,1,19,female,SRH Heidelberg,NA,No,NA,NA,"8, 9",Did not hear of RC,NA,4,4,1,Bisher haben wir noch keine verwendet,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,502s (~8.37 minutes),No,0,NA,NA,NA,NA,NA,819
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,21,female,Ludwig-Maximilians-Universität München,NA,Yes,1,1,"1, 2, 3, 4, 5, 6, 7, 8, 9",Did hear of RC,"11, 15",3,4,5,R,Yes,No,1,NA,1,1,6,6,6,6,6,1,6,6,6,311s (~5.18 minutes),Yes,1,1,0,0,0,0,820
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,SRH Heidelberg,NA,Yes,"1, 5",6,11,Did not hear of RC,NA,5,5,2,SPSS,Not Sure,No,1,NA,1,1,"1, 5",1,1,1,1,1,1,1,1,431s (~7.18 minutes),No,2,1,0,0,0,1,821
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,19,female,SRH Heidelberg,NA,No,NA,NA,"2, 4",Did hear of RC,6,4,4,2,SPSS,No,No,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12486s (~3.47 hours),No,0,NA,NA,NA,NA,NA,822
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,23,male,NA,NA,No,NA,NA,2,Did not hear of RC,NA,4,5,2,SPSS,No,No,1,"Sehr gute Umfrage,

wenn zu wenig Resonanz von den Universitäten kommt, einfach nochmal nachhaken. 
Sehr sehr wichtige Umfrage meiner Meinung nach auch im Hinblick darauf, wie unabhängig Forschung von Belohnungen ist.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,418s (~6.97 minutes),No,0,NA,NA,NA,NA,NA,823
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,3,20,female,Universität Osnabrück,NA,Yes,1,6,"1, 2, 3, 5, 6, 7, 8",Did hear of RC,"1, 7, 11",4,5,3,SPSS,Yes,Yes,1,NA,6,6,6,1,6,6,6,6,1,1,6,491s (~8.18 minutes),No,1,1,0,0,0,0,824
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,27,female,Georg-August-Universität Göttingen,Universität Osnabrück,Yes,"1, 3",6,"1, 2, 3, 4, 5, 6, 7, 8",Did hear of RC,"4, 9, 11",3,5,3,R,Yes,Yes,1,NA,"3, 5",6,6,"1, 3",6,6,6,6,6,6,6,521s (~8.68 minutes),Yes,2,1,0,1,0,0,825
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,male,NA,NA,Yes,"1, 2",6,"1, 3, 4, 5, 6, 7, 8",Did hear of RC,"1, 6, 7, 11, 14",5,5,5,R,No,No,1,NA,"1, 2",6,1,6,6,1,6,1,6,6,6,442s (~7.37 minutes),No,2,1,1,0,0,0,826
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,25,female,Universität Osnabrück,Universität Hamburg,Yes,"1, 2, 3",6,11,Did hear of RC,9,3,5,2,"SPSS,R",No,No,1,NA,1,6,"1, 3","2, 3",6,6,6,6,6,6,6,536s (~8.93 minutes),No,3,1,1,1,0,0,827
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,21,female,Universität Osnabrück,NA,Yes,2,6,11,Did not hear of RC,NA,5,5,5,SPSS,Yes,No,1,NA,6,6,6,6,6,6,6,6,6,6,6,264s (~4.4 minutes),No,1,0,1,0,0,0,828
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,21,male,Universität Osnabrück,NA,Yes,"1, 3, 5",6,"1, 2, 3, 4, 5, 6, 7, 8",Did not hear of RC,NA,4,5,2,SPSS,No,No,1,NA,1,6,6,3,6,6,"1, 5",6,6,6,6,3913s (~1.09 hours),No,3,1,0,1,0,1,829
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,19,female,Universität Osnabrück,NA,No,NA,NA,"1, 2, 3, 7, 8",I don't know,11,3,5,2,SPSS,Yes,Yes,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273s (~4.55 minutes),No,0,NA,NA,NA,NA,NA,830
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,1,22,female,Universität Bielefeld,Universität Osnabrück,Yes,"1, 2, 3","2, 3","2, 7",Did not hear of RC,NA,4,5,4,"R,SPSS",Yes,Not Sure,1,"Bei ""Forschungspraktiken 4/4"" sollte nur angegeben werden, ob sich an meiner aktuellen Uni mit den Themen kritisch auseinandergesetzt wurde. Allerdings befinde ich mich im Master und es wäre vollkommen unedenkbar diese Praktiken durchzuführen, nur deswegen wurde es nicht nochmal groß thematisiert. Im Bachelor dagegen schon.","1, 2, 3","2, 3",6,6,6,6,6,6,6,6,6,246044s (~2.85 days),No,3,1,1,1,0,0,831
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,1,18,diverse,Universität Osnabrück,NA,No,NA,NA,11,I don't know,15,1,3,1,SPSS,Not Sure,Not Sure,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,188s (~3.13 minutes),No,0,NA,NA,NA,NA,NA,832
Bachelor,NA,NA,NA,NA,NA,NA,Psychology,NA,5,26,female,Universität Hamburg,NA,Yes,1,6,"2, 6, 8",Did hear of RC,11,4,5,3,R,Not Sure,No,1,NA,1,6,6,6,6,6,6,6,6,6,6,469s (~7.82 minutes),No,1,1,0,0,0,0,833
Master,NA,NA,NA,NA,NA,NA,Psychology,NA,3,24,female,NA,NA,Yes,"1, 2, 3, 4",6,"1, 3, 4, 5, 7, 8, 9",Did hear of RC,"11, 15",5,5,4,R,No,No,1,NA,"3, 4",6,6,"1, 2",6,6,6,6,6,6,6,522s (~8.7 minutes),No,4,1,1,1,1,0,834
