age,sex,semester,study_stage_mc,study_stage_open,uni_bachelor,uni_current,study_degree,study_degree_field,study_degree_year,study_degree_yesno,comments,exp_specific
21,male,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,"Ich habe den Eindruck, der Begriff Replikationskrise wird zunehmend zu einem inhaltsleeren Schlagwort. Sicherlich ist es gut, Studien zu registrieren, alle Daten zu berichten und einmal gemachte Vorhersagen beizubehalten, aber diese Vorgehensweisen bekommen fast schon einen dogmatischen Charakter, wenn seminal papers wie von Ioannidis (2005) herangezogen werden. Was zu wenig beachtet wird, sind kritische Gegenstimmen. Ich sehe die Gefahr, dass eine Studie, deren Hypothesen noch so diffus theoretisch fundiert sind, deren Schlüsse aus empirischen Daten noch so hanebüchen sind und deren interne Validität mehr als fragwürdig sind, den Vorzug bekommen vor einer solchen Untersuchung, die theoretisch fundiert ist und die sich eines cleveren methodischen Designs bedient, nur weil im letzteren Fall nicht präregistriert wurde oder die Stichprobengröße nicht a priori bestimmt wurde oder die Studie underpowered ist. Alle diese Maßnahmen wirken für mich wie Bulletpoints auf den bei uns so beliebten Powerpointfolien, die wir mal auswendig lernen mussten und, die jetzt mantraartig wiedergegeben werden im Glauben, dabei handele es sich um die einzige Möglichkeit, Wissenschaft zu verbessern. Was wir vergessen ist, dass das was unsere Wissenschaft ausmacht, mehr ist als eine preregistration oder eine Poweranalyse.  Wir sind noch lange keine guten Wissenschaftler, wenn wir alle diese Richtlinien befolgen.","1, 3"
20,female,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
22,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
21,female,1,Master,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 3"
20,male,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
24,female,1,Master,NA,Universität Hamburg,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 2, 3"
19,female,1,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,NA
21,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
19,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
23,female,NA,I don't study (any more),NA,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,B.Sc.,Psychology,2,1,NA,"1, 3, 5"
23,female,8,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,"Ich interessiere mich stark für Open science und kenne mich auch dementsprechend aus. Nicht, weil es an der Uni gelehrt wird, sondern weil ich mich im Rahmen meiner Bachelorarbeit damit beschäftige. Ich finde den Themenkomplex an sich sehr relevant und wichtig!!","1, 3"
25,male,8,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,"JASP habe ich selbst auch verwendet (im Empra)
SPSS war es in meinem Startsemester noch, der Jahrgang nach mir lernt nur noch R","1, 2, 3, 5"
22,female,1,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,NA
28,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"1, 5"
28,male,5,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 5"
19,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
28,male,1,Master,NA,Universität Osnabrück,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 2, 3"
22,female,1,Master,NA,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"1, 2, 3"
19,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2"
20,male,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"1, 5"
20,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
19,female,1,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,NA
20,female,5,Bachelor,NA,NA,Universität Regensburg,NA,NA,NA,NA,NA,"1, 2, 5"
21,male,4,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 2"
21,female,1,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,NA,NA
21,female,3,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,"Das Empra hat gerade erst begonnen, wir sind noch nicht bei der Datenanalyse angekommen, weshalb die Aussage, welche Praktiken angewendet wurden noch nicht ale abschließend betrachtet werden kann.",1
23,female,1,Master,NA,Justus-Liebig-Universität Gießen,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2, 3, 5"
23,female,1,Master,NA,Justus-Liebig-Universität Gießen,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2, 3"
25,male,5,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 3, 4, 5"
29,male,7,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,NA,1
23,male,3,Master,NA,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,"An der LMU wird recht offen über die Replikationskrise und ORPs gesprochen, habe ich das Gefühl. Was mich aber leider etwas unzufrieden stimmt, ist die Vermittlung von konkreten Abläufen in der tatsächlichen Forschung. Bei vielen Projekten gilt es zunächst mal eine grobe Idee zu entwickeln, um dann so schnell wie möglich mit der Erhebung von Versuchspersonen zu beginnen (selten werden Poweranalysen durchgeführt, es gilt allgemein einfach so viele Probanden zu erheben wie möglich). Konkrete Fragestellungen ergeben sich meist erst im Verlauf, was oftmals entweder zu einer Umstellung der Versuchsparadigmen oder zur Erhebung von vielen Zusatzvariablen führt, die in der letztendlichen Auswertung keine Rolle mehr spielen. Ich weiß, nicht alle Komplikationen können vorhergesehen werden, aber ich würde mir wünschen, dass der Vermittlung einer ausführlichen Studienplanung sowohl auf Theorieebene als auch in der praktischen Durchführung mehr Platz eingeräumt werden würde.","1, 3"
24,female,3,Master,NA,Otto-Friedrich-Universität Bamberg,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 2, 3, 5"
21,female,1,Master,NA,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"1, 3"
22,female,1,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3"
21,female,1,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 3"
22,female,1,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3"
24,no answer,NA,I don't study (any more),NA,Otto-Friedrich-Universität Bamberg,NA,B.Sc.,Psychology,1,1,NA,"1, 3, 5"
18,female,1,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,NA
22,female,1,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 3, 5"
24,male,5,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"2, 5"
18,female,1,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,NA
23,female,3,Master,NA,Otto-Friedrich-Universität Bamberg,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"2, 5"
21,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
21,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2"
21,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,1
19,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2"
24,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2"
20,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
21,female,5,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
21,female,1,Master,NA,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"1, 3, 5"
22,female,1,Master,NA,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"1, 3"
21,female,5,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,"Zur Frage, ob es eine Open Science - Initiative an meiner Universität gibt: Ich weiß, dass sich einige Studierende meiner Universität in eurer Arbeitsgruppe engagieren. Ich kenne aber keine Initiative, die direkt von der Uni aus kommt.

Ich habe mich glaube ein- oder zweimal verklickt. Wenn ""Projektarbeit"" und ""keine davon"" angeklickt ist, dann meine ich ""Projektarbeit"" - tut mir leid. Leider konnte ich nicht auf die Seite zurückgehen.",2
26,female,3,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,Nicht nur Infos / inhaltliche Updates über Facebook teilen!!,"1, 2"
20,female,2,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,NA
22,female,7,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"1, 2, 3"
26,female,5,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
21,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,5
20,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
21,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
20,female,2,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
21,female,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,1
27,male,3,Master,NA,Universität Hildesheim,Universität Hildesheim,NA,NA,NA,NA,Gut,"1, 2, 3, 4, 5"
18,female,1,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,"Ich bin erst im 1. Semester, heißt, dass noch einige offene Fragen im Laufe des Studiums geklärt werden und somit die Wahrscheinlichkeit, dass Themen zu Open Science offenstehen, ziemlich hoch ist.",NA
19,female,1,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
25,female,3,Master,NA,Universität Hildesheim,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"1, 2"
22,female,5,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"2, 5"
21,male,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
21,female,5,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,"Ich weiß von der Open Science Thematik nur, weil ich in der Fachschaft bin.",1
20,no answer,5,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,1
22,female,5,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,2
24,female,1,Master,NA,Ruhr-Universität Bochum,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 2, 3"
23,female,7,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 2, 3"
28,female,5,Master,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,"Ich finde es sehr gut, dass es zu der Thematik fragwürdiger Forschungsprakitiken endlich mal eine (gute) Umfrage gibt!!! Danke dafür","1, 3, 4"
26,male,3,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,1
20,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,1
22,diverse,1,Master,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 3, 5"
22,male,1,Master,NA,Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2, 3"
21,female,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
24,male,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
20,female,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
19,male,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
24,female,2,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 2, 3, 5"
30,female,3,Bachelor,NA,NA,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,1
28,female,NA,I don't study (any more),NA,NA,Georg-August-Universität Göttingen,M.Sc.,Psychology,2,1,NA,"1, 2, 3, 4, 5"
26,female,1,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3, 5"
28,female,1,Master,NA,Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2, 3, 5"
24,male,3,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3, 4"
26,female,1,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,NA
21,female,3,Bachelor,NA,NA,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 2"
22,female,1,Master,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 3"
23,male,3,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 2, 3, 5"
23,female,1,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,"Anmerkung zur Angabe, dass ich selbst keine Präregistrierung vorgenommen habe:
Meine Bachelorarbeit ging über das Manybabies I Projekt und wurde im großen Rahmen präregistriert, daher aber nicht gesondert von mir/ meiner Betreuerin.","1, 3"
22,female,1,Master,NA,Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2, 3"
22,male,5,Bachelor,NA,NA,Universität Koblenz-Landau,NA,NA,NA,NA,NA,"1, 3"
19,female,1,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,NA
24,female,3,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 2, 3"
25,female,4,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3, 5"
20,female,5,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
21,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,female,1,Master,NA,Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2, 3"
21,female,1,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,"1. wurden nur Grundfächer des Bachelor-Studiengangs genannt. In Göttingen gab es aber im WiSe 17/18 ein Open Science Seminar, woran man teilnehmen konnte (was übrigens toll war). Weiterhin wird im Master extrem viel darauf eingegangen in Gö. Und ich fand die Fragen nicht ganz verständlich. Störvariablen auszuschließen ist perse ja nichts schlechtes, auch wenn es nicht unbedingt als Hypothese behandelt wurde. Solange es als zusätzliche Info gegeben wird und nicht als ""Der Befund"" repräsentiert wird, sehe ich da nichts schlechtes. habe die eine Frage aber so verstanden.","1, 2, 3"
23,female,1,Master,NA,Georg-August-Universität Göttingen,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 2, 3, 5"
24,female,NA,I don't study (any more),NA,NA,NA,M.Sc.,Psychology,1,1,NA,"1, 3, 4, 5"
21,male,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 5"
20,female,1,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,NA
19,female,1,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,NA
20,female,3,Bachelor,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 2"
22,female,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
22,female,7,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 5"
19,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
24,female,5,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 2, 4"
21,female,1,Master,NA,NA,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 2, 3, 5"
20,female,1,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,NA
22,female,1,Master,NA,Albert-Ludwigs-Universität Freiburg,Albert-Ludwigs-Universität Freiburg,NA,NA,NA,NA,Viele Themen wurden mal abgerissen (replikstionskrise) aber nie vernünftig in der Vorlesung vorgestellt,"1, 3"
27,female,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,NA
39,female,1,Bachelor,NA,NA,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,NA
20,male,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,male,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2"
23,male,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
24,male,3,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3, 5"
24,female,1,Master,NA,Westfälische Wilhelms-Universität Münster,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 3, 5"
25,female,1,Master,NA,NA,Universität Hamburg,NA,NA,NA,NA,NA,"1, 3"
19,male,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2"
28,female,6,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3, 5"
30,female,1,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3"
25,male,5,Master,NA,NA,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 2, 3, 4"
21,male,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,female,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2"
25,female,4,Master,NA,Albert-Ludwigs-Universität Freiburg,NA,NA,NA,NA,NA,NA,"1, 3, 4"
20,female,3,Bachelor,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,"Was genau in welcher Veranstaltung zum Thema Open Science gesagt wurde, weiß ich nicht mehr genau, aber das Thema wird oft angesprochen.",1
26,female,5,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3"
20,male,3,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,1
25,female,NA,I don't study (any more),NA,NA,RWTH Aachen,M.Sc.,Psychology,1,1,NA,"1, 2, 3, 4"
25,female,5,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3, 4"
21,female,3,Bachelor,NA,NA,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,1
21,female,3,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"1, 5"
27,male,NA,I don't study (any more),NA,NA,NA,M.Sc.,Psychology,2,1,NA,"1, 2, 3, 4"
33,female,5,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 4"
24,female,1,Master,NA,Justus-Liebig-Universität Gießen,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,"1, 2, 3, 5"
24,female,5,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 2, 3, 4"
38,male,3,Master,NA,NA,Albert-Ludwigs-Universität Freiburg,NA,NA,NA,NA,NA,"1, 2, 3"
25,male,7,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,female,5,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,"Ich wurde auf primär auf der PsyFaKo über Open Science informiert. 
Zuletzt wurde in ""Angewandte Kognitionswissenschaften"" über Open Science berichtet.","1, 3"
23,female,1,Master,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 3"
26,male,3,Master,NA,Ruhr-Universität Bochum,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 3, 5"
23,diverse,3,Master,NA,Ruhr-Universität Bochum,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 3, 5"
22,female,4,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
26,female,5,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 2"
20,female,4,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,1
21,female,5,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,1
19,female,2,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,NA
22,male,5,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,1
21,female,4,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 2"
29,female,5,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 2, 3, 4"
24,male,5,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,Es ist echt knifflig sich da an alles zu erinnern,"1, 2"
21,male,4,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,"Informationen über Open Science & Replikationskriese habe ich nur über Fachschaftsarbeit, nie über die Universität erhalten","1, 2"
33,female,7,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 3"
20,female,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
22,female,5,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,"1, 3"
32,female,5,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
23,female,1,Master,NA,Julius-Maximilians-Universität Würzburg,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 3, 5"
23,female,5,Master,NA,Universität Koblenz-Landau,Universität Koblenz-Landau,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
24,female,1,Master,NA,Johannes Gutenberg-Universität Mainz,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 3"
20,female,7,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"1, 3"
23,female,3,Master,NA,Universität Osnabrück,Universität Hildesheim,NA,NA,NA,NA,NA,"1, 3"
20,female,5,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,"1, 2"
22,male,3,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,1
21,male,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,female,1,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 3"
20,female,5,Bachelor,NA,NA,Johannes Gutenberg-Universität Mainz,NA,NA,NA,NA,NA,1
30,female,5,Master,NA,Technische Universität Chemnitz,Technische Universität Chemnitz,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
25,male,3,Master,NA,Ruhr-Universität Bochum,Ruhr-Universität Bochum,NA,NA,NA,NA,NA,"1, 2, 3, 4, 5"
38,female,1,Bachelor,NA,NA,Universität Bielefeld,NA,NA,NA,NA,NA,NA
20,female,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
21,male,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
23,female,3,Master,NA,Ludwig-Maximilians-Universität München,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,"1, 2, 3"
19,female,3,Bachelor,NA,NA,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,1
21,female,1,Bachelor,NA,NA,Justus-Liebig-Universität Gießen,NA,NA,NA,NA,NA,NA
26,female,3,Master,NA,NA,Goethe-Universität Frankfurt,NA,NA,NA,NA,Go team savage survey <3,"1, 2, 3, 5"
19,female,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,female,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
22,female,3,Master,NA,Georg-August-Universität Göttingen,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,"1, 3, 5"
19,female,1,Bachelor,NA,NA,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,NA
20,female,3,Bachelor,NA,NA,Universität Leipzig,NA,NA,NA,NA,"In unserem Empra habe einfach immer alle Studierenden des Moduls an der Studie teilgenommen. Deshalb ist es für mich schwierig, alle Fragen zu beantworten, die damit zu tun haben, wie VP erhoben wurden",1
22,female,3,Bachelor,NA,NA,Universität Leipzig,NA,NA,NA,NA,NA,1
20,female,5,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,1
20,female,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2"
24,female,5,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 5"
23,female,1,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 2, 3"
22,male,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,female,1,Master,NA,NA,NA,NA,NA,NA,NA,NA,"1, 3"
20,female,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,female,5,Bachelor,NA,NA,Otto-Friedrich-Universität Bamberg,NA,NA,NA,NA,NA,"1, 5"
22,female,3,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3, 4"
22,female,5,Bachelor,NA,NA,Ludwig-Maximilians-Universität München,NA,NA,NA,NA,NA,1
23,female,5,Bachelor,NA,NA,Julius-Maximilians-Universität Würzburg,NA,NA,NA,NA,NA,"1, 3"
24,female,3,Master,NA,NA,NA,NA,NA,NA,NA,"Thema Präregistrierung:
Es wurde in den Expras gelehrt, dass man das Experiment vorher plant und dies auch gemeinsam vorgenommen. Trotz allem, musste man diese Planung nicht ab jemanden abgeben, d.h. nicht ""offiziell"" präregistrieren. Trotz alledem wurde diese Thematik vermittelt. Es war schwierig da jetzt die passende Anwtort bei diesem Fragenkomplex zu finden.","1, 3"
21,female,1,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,female,5,Bachelor,NA,NA,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 2"
20,female,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
22,male,3,Bachelor,NA,NA,NA,NA,NA,NA,NA,NA,1
23,female,1,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,NA
26,female,5,Master,NA,Georg-August-Universität Göttingen,Universität Osnabrück,NA,NA,NA,NA,NA,"1, 2, 3"
23,female,NA,I don't study (any more),NA,NA,NA,B.Sc.,Psychology,1,1,NA,"1, 2, 3, 5"
23,female,1,Master,NA,NA,Westfälische Wilhelms-Universität Münster,NA,NA,NA,NA,NA,2
24,female,1,Master,NA,Georg-August-Universität Göttingen,Georg-August-Universität Göttingen,NA,NA,NA,NA,NA,"1, 3"
20,female,1,Bachelor,NA,NA,Universität Osnabrück,NA,NA,NA,NA,NA,NA
19,female,3,Bachelor,NA,NA,Universität Leipzig,NA,NA,NA,NA,NA,NA
